What is your PRIMARY MAJOR?,"Internship, field experience, co-op, or practicum",ParticipateServiceL,ParticipateCService,ParticipateStudyAbroadSemester,SJ1,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,DA1,DA2,DA3,DA4,DA5,LocalRole,LocalFinance,LocalTime,GlobalRole,GlobalFinance,GlobalTime,Your gender?
6,1,,1,,3,3,4,3,5,4,4,5,1,2,1,5,5,3,3,3,4,3,3,2
52,1,1,1,,2,2,2,2,3,3,4,5,1,2,2,5,4,,,,,,,1
6,1,1,1,,2,1,3,1,5,5,5,5,4,2,2,4,5,5,5,5,5,5,5,2
12,1,,,,1,1,2,2,5,3,5,5,2,2,1,5,4,,,,,,,2
5,1,,1,,3,2,2,2,3,3,3,4,2,2,2,4,5,,,,,,,1
39,,,,,2,3,4,2,4,5,5,5,1,2,3,4,4,,,,,,,2
51,,1,,,4,3,3,4,3,3,4,5,4,3,3,4,5,4,3,4,4,3,4,2
3,1,,1,,3,2,4,,3,3,3,4,4,5,3,3,4,,,,,,,2
6,1,1,,,3,3,4,2,2,3,3,5,2,3,2,3,4,4,3,4,3,3,3,2
1,1,,1,,1,1,1,1,5,4,4,5,3,2,1,3,4,,,,,,,2
1,,,,,3,2,4,3,3,3,2,5,2,4,4,4,4,,,,,,,1
49,1,,1,1,1,2,3,3,3,4,4,3,1,2,2,4,4,,,,,,,2
1,,,,,3,1,3,3,4,4,4,5,2,2,1,4,5,,,,,,,2
52,1,,1,,3,3,2,2,3,2,4,4,3,3,2,4,3,,,,,,,1
43,1,,1,,3,2,3,3,2,3,4,4,3,5,3,3,2,,,,,,,1
51,,,1,,1,1,3,2,4,4,4,5,2,1,1,5,5,5,4,5,4,4,5,2
66,,1,,,2,1,3,2,5,4,4,5,1,2,1,5,5,,,,,,,2
39,1,,1,,2,1,1,1,3,3,4,4,2,4,2,4,4,,,,,,,2
62,1,,1,,1,1,1,1,5,5,3,5,2,3,2,4,4,,,,,,,2
38,,,,,1,1,2,2,2,3,4,5,1,1,1,5,5,,,,,,,1
1,,,,,3,2,3,4,3,4,4,5,2,3,2,4,4,,,,,,,2
41,,,,,3,2,2,2,4,4,4,1,3,3,2,4,4,,,,,,,1
10,1,1,1,,2,2,3,5,4,4,4,4,3,4,2,4,3,,,,,,,2
16,,,1,,2,1,2,4,4,4,4,4,2,4,4,4,4,4,4,4,5,5,5,2
49,1,1,1,,1,1,1,1,5,5,5,5,2,2,1,5,5,,,,,,,1
29,1,,,,3,2,3,2,,3,3,5,1,3,2,4,4,,,,,,,2
16,,,1,,2,3,3,2,3,5,5,4,4,4,3,4,4,4,4,4,3,3,3,1
19,1,1,,,3,2,4,1,4,1,1,4,3,3,3,4,1,3,1,1,3,1,1,2
26,,,,,3,3,4,4,3,3,3,5,2,3,2,5,4,4,3,4,4,3,4,2
42,1,1,1,,3,2,2,2,4,3,2,3,3,3,2,4,4,,,,,,,1
22,1,,1,,3,3,4,2,2,2,2,4,2,4,3,3,3,,,,,,,2
58,1,,,,2,4,3,3,2,2,2,5,2,3,2,4,4,,,,,,,1
29,,,1,,3,3,3,2,3,4,4,5,4,3,1,5,5,,,,,,,2
16,,,1,,3,3,3,2,3,4,3,4,3,3,3,4,4,4,3,3,4,3,3,2
69,1,,1,,2,2,3,2,3,3,4,4,3,3,2,3,3,3,3,3,4,3,3,2
26,1,,1,,1,3,2,4,3,3,4,4,1,2,2,5,5,4,3,4,3,3,4,1
16,,,,,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,2
16,1,1,1,,2,2,3,2,3,3,3,3,3,3,2,4,4,3,3,3,3,3,3,2
19,,1,,,3,4,4,3,2,4,4,4,3,3,3,4,4,4,3,3,2,2,2,2
54,,,,,3,3,3,3,3,3,3,3,3,3,2,4,4,,,,,,,1
60,1,,,,1,1,1,2,4,4,5,4,2,4,2,4,4,,,,,,,1
39,,,1,,4,1,2,2,4,4,5,5,2,4,1,4,4,,,,,,,2
40,1,1,1,,3,3,4,2,4,4,5,4,3,3,2,5,4,,,,,,,2
51,1,1,,,2,3,3,3,3,3,3,4,2,3,2,3,4,3,3,3,3,3,3,2
11,1,,1,,2,2,3,3,4,3,4,5,2,3,3,4,4,,,,,,,2
24,1,1,,,3,2,2,1,2,3,5,5,1,2,1,5,5,,,,,,,2
29,,,,,2,1,1,1,4,4,5,5,2,4,2,4,3,,,,,,,2
27,1,1,1,,2,2,4,2,4,4,4,4,3,2,2,4,4,,,,,,,2
41,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,1,2,4,1,4,5,4,5,3,2,2,5,5,,,,,,,2
13,1,,,,3,3,3,2,3,4,4,4,4,4,2,4,3,,,,,,,2
17,,,,,2,2,3,3,4,4,5,5,2,3,2,5,5,2,3,3,4,3,3,2
17,,1,,,4,4,5,4,4,4,5,4,3,4,2,4,4,4,2,2,4,3,4,2
24,1,1,1,,3,3,2,2,3,,,,,,,,,,,,,,,2
69,1,1,,,1,1,3,3,3,3,4,5,1,1,1,5,5,5,4,5,5,3,4,2
16,,,,,4,3,3,3,3,3,4,4,2,3,2,3,4,3,3,4,3,3,3,2
41,1,,,,1,1,3,2,3,4,3,5,2,1,1,5,5,,,,,,,2
29,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
12,1,,,,3,3,3,3,3,2,3,3,3,3,2,4,3,,,,,,,2
5,,,,,2,1,1,2,3,4,4,4,1,4,3,4,4,,,,,,,1
16,1,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
43,1,1,1,,2,2,2,1,3,4,4,5,1,1,1,5,5,,,,,,,1
51,1,1,,,2,2,3,3,4,4,5,4,3,4,3,3,3,2,2,2,4,3,3,2
10,,,1,,4,3,3,1,3,4,4,4,3,4,2,4,5,,,,,,,1
23,,,1,,2,2,2,1,2,4,4,2,2,3,1,5,4,,,,,,,2
10,,,1,,4,3,2,3,2,2,3,3,3,4,2,2,4,,,,,,,1
51,,1,1,,4,4,3,2,4,4,4,4,2,3,2,4,4,4,3,3,4,3,3,2
26,,,,,1,1,3,1,3,4,5,5,3,2,2,5,4,4,4,3,4,3,4,2
39,,,,,2,1,2,1,3,2,4,4,2,3,2,4,4,,,,,,,2
54,,,1,,4,4,3,4,3,2,4,4,3,4,2,4,4,,,,,,,2
35,,,,,,,,,,,,,,,,,,,,,,,,
63,1,,1,,2,1,1,1,3,5,4,2,1,3,3,4,4,,,,,,,1
1,1,,1,,3,3,3,3,4,4,4,4,3,4,2,4,4,,,,,,,1
29,,,1,,1,3,3,2,5,5,4,4,2,2,1,4,5,,,,,,,2
51,,1,,,5,4,4,3,3,3,4,4,5,5,5,1,1,1,1,1,2,1,1,2
16,1,1,1,,,,,,,,,,,,,,,5,5,5,5,5,5,1
43,1,,1,,1,1,1,1,4,4,4,4,2,3,2,4,4,,,,,,,1
16,,,,,2,2,3,2,3,4,4,4,4,3,2,4,3,3,3,3,3,3,3,2
